onset	duration	trial_type
1	0	error
2.5	0	error
4	0	error
5.5	0	error
7	0	error
8.5	0	error
10	0	error
11.5	0	error
13	0	error
14.5	0	error
16	0	correct
17.5	0	correct
19	0	correct
20.5	0	correct
22	0	correct
23.5	0	correct
25	0	correct
26.5	0	correct
28	0	correct
29.5	0	correct
31	0	correct
32.5	0	correct
34	0	correct
35.5	0	correct
37	0	correct
38.5	0	correct
40	0	correct
41.5	0	correct
43	0	correct
44.5	0	correct
46	0	correct
47.5	0	correct
49	0	correct
50.5	0	correct
52	0	correct
53.5	0	correct
55	0	correct
56.5	0	correct
58	0	correct
59.5	0	correct
