Response Id,Response Type,Source Name,User.FirstName,User.LastName,User.Id,Survey Started Date,studyId,quest_101,quest_102,quest_103,quest_110,quest_111,quest_120,quest_130,quest_140
R00001,Submission,Morning Survey,5001,Smith,000000000000000000001389,01/02/2025,657b7b3c1a3052fc06c77099,0,4,2,0,,0,,1
R00002,Submission,Morning Survey,5002,Smith,00000000000000000000138a,01/02/2025,657b7b3c1a3052fc06c77099,3,2,2,0,,4,,0
R00003,Submission,Morning Survey,5003,Smith,00000000000000000000138b,01/02/2025,657b7b3c1a3052fc06c77099,3,4,1,1,2,0,Day note 3,0
R00004,Submission,Morning Survey,5004,Smith,00000000000000000000138c,01/02/2025,657b7b3c1a3052fc06c77099,2,0,3,1,2,0,,0
R00005,Submission,Morning Survey,5005,Smith,00000000000000000000138d,01/02/2025,657b7b3c1a3052fc06c77099,2,0,2,1,3,3,,2
R00006,Submission,Morning Survey,5006,Smith,00000000000000000000138e,01/02/2025,657b7b3c1a3052fc06c77099,3,0,3,1,0,4,,0
R00007,Submission,Morning Survey,,Smith,00000000000000000000138f,01/02/2025,657b7b3c1a3052fc06c77099,3,4,0,1,2,2,,3
R00008,Submission,Morning Survey,5008,5008,000000000000000000001390,01/02/2025,657b7b3c1a3052fc06c77099,2,3,3,1,1,4,,0
R00009,Submission,Morning Survey,5009,Smith,000000000000000000001391,01/02/2025,657b7b3c1a3052fc06c77099,0,0,4,0,,3,Day note 9,0
R00010,Submission,Morning Survey,,Smith,000000000000000000001392,01/02/2025,657b7b3c1a3052fc06c77099,1,2,3,1,4,1,Day note 10,0
R00011,Submission,Morning Survey,5001,Smith,000000000000000000001389,02/02/2025,657b7b3c1a3052fc06c77099,0,2,2,0,,3,Day note 11,0
R00012,Submission,Morning Survey,,Smith,00000000000000000000138a,02/02/2025,657b7b3c1a3052fc06c77099,3,4,2,0,,3,Day note 12,0
R00013,Submission,Morning Survey,5003,Smith,00000000000000000000138b,02/02/2025,657b7b3c1a3052fc06c77099,3,3,2,1,1,0,,0
R00014,Submission,Morning Survey,5004,5004,00000000000000000000138c,02/02/2025,657b7b3c1a3052fc06c77099,4,0,2,1,3,2,,0
R00015,Submission,Morning Survey,5005,Smith,00000000000000000000138d,02/02/2025,657b7b3c1a3052fc06c77099,3,1,0,0,,1,,1
R00016,Submission,Morning Survey,,Smith,00000000000000000000138e,02/02/2025,657b7b3c1a3052fc06c77099,2,3,1,1,3,0,,0
R00017,Submission,Morning Survey,5007,Smith,00000000000000000000138f,02/02/2025,657b7b3c1a3052fc06c77099,3,4,0,1,3,3,Day note 17,3
R00018,Submission,Morning Survey,5008,Smith,000000000000000000001390,02/02/2025,657b7b3c1a3052fc06c77099,0,1,2,0,,3,,0
R00019,Submission,Morning Survey,5009,Smith,000000000000000000001391,02/02/2025,657b7b3c1a3052fc06c77099,2,3,4,0,,3,,0
R00020,Submission,Morning Survey,5010,Smith,000000000000000000001392,02/02/2025,657b7b3c1a3052fc06c77099,2,2,1,1,0,3,,0
R00021,Submission,Morning Survey,5001,Smith,000000000000000000001389,03/02/2025,657b7b3c1a3052fc06c77099,3,1,3,1,0,3,,0
R00022,Submission,Morning Survey,5002,Smith,00000000000000000000138a,03/02/2025,657b7b3c1a3052fc06c77099,4,1,2,0,,3,,0
R00023,Submission,Morning Survey,5003,5003,00000000000000000000138b,03/02/2025,657b7b3c1a3052fc06c77099,4,4,0,0,,2,,0
R00024,Submission,Morning Survey,5004,Smith,00000000000000000000138c,03/02/2025,657b7b3c1a3052fc06c77099,3,1,4,1,2,3,,0
