"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","demographics","","text","Record ID","","","","","","","","","","","","",""
"email","demographics","","text","Email","","","email","","","y","","","","","","",""
"consent_date","demographics","","text","Consent date","","","date_ymd","","","","","","","","","",""
"demo_age","demographics","","text","Age","","","integer","18","99","","","","","","","",""
"demo_sex","demographics","","radio","Sex at birth","0, Male | 1, Female","","","","","","","","","","","",""
"randomize","randomization","","radio","Randomized condition","1, Intervention | 2, Control","","","","","","","","","","","",""
"phq_1","phq9","","radio","Little interest","0, Not at all | 1, Several days | 2, More than half | 3, Nearly every day","","","","","","","","","","","",""
"phq_2","phq9","","radio","Feeling down","0, Not at all | 1, Several days | 2, More than half | 3, Nearly every day","","","","","","","","","","","",""
"phq_3","phq9","","radio","Sleep","0, Not at all | 1, Several days | 2, More than half | 3, Nearly every day","","","","","","","","","","","",""
"phq_4","phq9","","radio","Tired","0, Not at all | 1, Several days | 2, More than half | 3, Nearly every day","","","","","","","","","","","",""
"phq_5","phq9","","radio","Appetite","0, Not at all | 1, Several days | 2, More than half | 3, Nearly every day","","","","","","","","","","","",""
"phq_6","phq9","","radio","Feeling bad","0, Not at all | 1, Several days | 2, More than half | 3, Nearly every day","","","","","","","","","","","",""
"phq_7","phq9","","radio","Concentration","0, Not at all | 1, Several days | 2, More than half | 3, Nearly every day","","","","","","","","","","","",""
"phq_8","phq9","","radio","Psychomotor","0, Not at all | 1, Several days | 2, More than half | 3, Nearly every day","","","","","","","","","","","",""
"phq_9","phq9","","radio","Thoughts of death","0, Not at all | 1, Several days | 2, More than half | 3, Nearly every day","","","","","","","","","","","",""
"phq9_total","phq9","","calc","PHQ-9 total","[phq_1]+[phq_2]+[phq_3]+[phq_4]+[phq_5]+[phq_6]+[phq_7]+[phq_8]+[phq_9]","","","","","","","","","","","",""
"ius1","ius12","","radio","IUS 1","1, Not at all | 2, A little | 3, Somewhat | 4, Very | 5, Entirely","","","","","","","","","","","",""
"ius2","ius12","","radio","IUS 2","1, Not at all | 2, A little | 3, Somewhat | 4, Very | 5, Entirely","","","","","","","","","","","",""
"ius3","ius12","","radio","IUS 3","1, Not at all | 2, A little | 3, Somewhat | 4, Very | 5, Entirely","","","","","","","","","","","",""
"ius4","ius12","","radio","IUS 4","1, Not at all | 2, A little | 3, Somewhat | 4, Very | 5, Entirely","","","","","","","","","","","",""
"ius5","ius12","","radio","IUS 5","1, Not at all | 2, A little | 3, Somewhat | 4, Very | 5, Entirely","","","","","","","","","","","",""
"ius6","ius12","","radio","IUS 6","1, Not at all | 2, A little | 3, Somewhat | 4, Very | 5, Entirely","","","","","","","","","","","",""
"ius7","ius12","","radio","IUS 7","1, Not at all | 2, A little | 3, Somewhat | 4, Very | 5, Entirely","","","","","","","","","","","",""
"ius8","ius12","","radio","IUS 8","1, Not at all | 2, A little | 3, Somewhat | 4, Very | 5, Entirely","","","","","","","","","","","",""
"ius9","ius12","","radio","IUS 9","1, Not at all | 2, A little | 3, Somewhat | 4, Very | 5, Entirely","","","","","","","","","","","",""
"ius10","ius12","","radio","IUS 10","1, Not at all | 2, A little | 3, Somewhat | 4, Very | 5, Entirely","","","","","","","","","","","",""
"ius11","ius12","","radio","IUS 11","1, Not at all | 2, A little | 3, Somewhat | 4, Very | 5, Entirely","","","","","","","","","","","",""
"ius12","ius12","","radio","IUS 12","1, Not at all | 2, A little | 3, Somewhat | 4, Very | 5, Entirely","","","","","","","","","","","",""
"ius_prospective_subscale","ius12","","calc","IUS prospective","[ius1]+[ius2]+[ius4]+[ius5]+[ius8]+[ius9]+[ius11]","","","","","","","","","","","",""
"ius_inhibitory_subscale","ius12","","calc","IUS inhibitory","[ius3]+[ius6]+[ius7]+[ius10]+[ius12]","","","","","","","","","","","",""
"ius_total","ius12","","calc","IUS total","[ius1]+[ius2]+[ius3]+[ius4]+[ius5]+[ius6]+[ius7]+[ius8]+[ius9]+[ius10]+[ius11]+[ius12]","","","","","","","","","","","",""
"audit_1","audit","","radio","AUDIT 1","0, Never | 1, Monthly | 2, 2-4 times a month | 3, 2-3 times a week | 4, 4+ times a week","","","","","","","","","","","",""
"audit_2","audit","","radio","AUDIT 2","0, 1 or 2 | 1, 3 or 4 | 2, 5 or 6 | 3, 7 to 9 | 4, 10+","","","","","","[audit_1] > 0","","","","","",""
"audit_3","audit","","radio","AUDIT 3","0, Never | 1, Less than monthly | 2, Monthly | 3, Weekly | 4, Daily","","","","","","[audit_1] > 0","","","","","",""
"audit_notes","audit","","notes","Notes","","","","","","","","","","","","",""
