------------ Data File Created By ActiGraph wGT3X-BT ActiLife v6.13.4 Firmware v1.9.2 date format M/d/yyyy at 60 second epoch -----------
Serial Number: MOS2D0001
Start Time 09:00:00
Start Date 2/1/2025
Epoch Period (hh:mm:ss) 00:01:00
Download Time 10:15:00
Download Date 3/15/2025
Current Memory Address: 0
Current Battery Voltage: 4.12     Mode = 61
--------------------------------------------------
Subject Name,Date,Axis1,Steps,Wear Time (min),Calories
0001,02/01/2025,299580,6434,380,2202
0001,02/02/2025,299569,6455,506,2542
0001,02/03/2025,299847,6538,405,2513
0001,02/04/2025,301322,6487,527,2499
0001,02/05/2025,298692,6410,557,2110
0001,02/06/2025,299990,6510,451,2354
0001,02/07/2025,301093,6473,482,1993
0001,02/08/2025,299988,6596,575,2034
0001,02/09/2025,299743,6522,927,2501
0001,02/10/2025,300744,6403,702,1957
0001,02/11/2025,299835,6514,1162,2506
0001,02/12/2025,299540,6455,1324,1865
0001,02/13/2025,300704,6431,781,2297
0001,02/14/2025,300638,6555,628,1815
0001,02/15/2025,300860,6565,836,2521
0001,02/16/2025,300378,6382,755,2587
0001,02/17/2025,300321,6520,1347,2386
0001,02/18/2025,299496,6341,1003,2066
0001,02/19/2025,300507,6482,789,1818
0001,02/20/2025,299620,6524,1421,1942
0001,02/21/2025,300049,6476,995,2473
0001,02/22/2025,300692,6678,671,2523
0001,02/23/2025,300738,6600,1072,2226
0001,02/24/2025,300366,6487,808,1919
0001,02/25/2025,299416,6509,666,1826
0001,02/26/2025,299826,6415,956,2124
0001,02/27/2025,299641,6611,1042,1844
0001,02/28/2025,300017,6556,1017,2427
0001,03/01/2025,299446,6466,1145,1926
0001,03/02/2025,300533,6564,972,2115
0001,03/03/2025,299360,6440,1067,2293
0001,03/04/2025,300051,6634,1103,2352
0001,03/05/2025,299557,6451,879,2172
0001,03/06/2025,300103,6442,980,2353
0001,03/07/2025,299900,6677,1202,2399
0001,03/08/2025,300948,6496,998,2056
0001,03/09/2025,299888,6479,1309,2501
0001,03/10/2025,300959,6505,956,1970
0001,03/11/2025,300331,6483,1421,2442
0001,03/12/2025,300070,6536,921,2548

