Device Identity
Device Type,GENEActiv
Device Model,1.2
Device Unique Serial Code,047521
Device Firmware Version,Ver06.17

Configuration Info
Measurement Frequency,100 Hz
Start Time,2025-02-01 09:00:00:000
Time Zone,GMT -05:00

Subject Info
Subject Code,0003

Recorded Data
subject_code,ts,x,y,z,lux
0003,2025-02-01 00:00:00,-0.604,1.437,-0.283,62
0003,2025-02-01 01:00:00,0.416,-1.578,1.775,51
0003,2025-02-01 02:00:00,-0.709,0.61,-0.369,54
0003,2025-02-01 03:00:00,0.134,1.199,0.023,50
0003,2025-02-01 04:00:00,-0.347,-0.165,-2.008,59
0003,2025-02-01 05:00:00,1.124,0.619,-0.863,47
0003,2025-02-01 06:00:00,-0.458,0.507,-0.444,49
0003,2025-02-01 07:00:00,0.076,-0.562,0.561,61
0003,2025-02-01 08:00:00,0.929,1.446,-0.23,31
0003,2025-02-01 09:00:00,-1.707,2.302,0.7,42
0003,2025-02-01 10:00:00,1.287,-0.956,-0.765,56
0003,2025-02-01 11:00:00,-0.335,1.733,-0.832,35
0003,2025-02-01 12:00:00,-0.905,0.905,0.374,51
0003,2025-02-01 13:00:00,0.244,1.267,0.667,46
0003,2025-02-01 14:00:00,0.422,0.058,-0.664,34
0003,2025-02-01 15:00:00,1.499,-0.11,1.013,53
0003,2025-02-01 16:00:00,-0.724,0.045,-1.096,51
0003,2025-02-01 17:00:00,-2.399,0.715,0.291,45
0003,2025-02-01 18:00:00,-0.944,0.582,0.676,55
0003,2025-02-01 19:00:00,0.895,2.184,-0.437,46
0003,2025-02-01 20:00:00,-1.334,-0.026,0.59,50
0003,2025-02-01 21:00:00,-1.801,-0.081,2.389,39
0003,2025-02-01 22:00:00,-3.069,0.261,0.077,59
0003,2025-02-01 23:00:00,-0.209,0.354,-1.077,58
0003,2025-02-02 00:00:00,1.862,-1.6,0.618,52
0003,2025-02-02 01:00:00,0.076,0.479,-0.363,38
0003,2025-02-02 02:00:00,0.178,-0.277,0.17,46
0003,2025-02-02 03:00:00,-0.655,1.511,0.157,43
0003,2025-02-02 04:00:00,-2.172,1.518,-0.565,51
0003,2025-02-02 05:00:00,0.62,-1.298,-0.874,53
0003,2025-02-02 06:00:00,-0.365,0.29,-0.455,51
0003,2025-02-02 07:00:00,-0.041,0.714,-1.928,45
0003,2025-02-02 08:00:00,-0.511,-1.306,-0.462,43
