device_id,timestamp,double_values_0,double_values_1,double_values_2
0001,1.738368e+12,-0.035,1.89,0.624
0001,1738368600000,0.052,0.812,-0.479
0001,1738369200000,1.454,1.261,-0.142
0001,1738369800000,0.405,-2.194,0.779
0001,1738370400000,0.892,0.847,0.802
0001,1.738371e+12,-1.149,-0.34,0.132
0001,1738371600000,-0.828,1.282,0.383
0001,1738372200000,-2.565,-0.237,-0.027
0001,1738372800000,-1.087,-0.322,-2.421
0001,1738373400000,-1.309,-0.31,0.26
0001,1.738374e+12,-0.337,-0.181,0.093
0001,1738374600000,0.709,0.373,0.832
0001,1738375200000,-0.045,3.174,-1.08
0001,1738375800000,-1.083,1.505,0.28
0001,1738376400000,0.216,1.628,-1.069
0001,1.738377e+12,0.429,-1.764,1.009
0001,1738377600000,-0.124,2.906,0.767
0001,1738378200000,0.87,-0.994,-0.787
0001,1738378800000,0.763,0.534,1.167
0001,1738379400000,0.158,1.09,-0.993
0001,1.73838e+12,-1.273,0.017,-0.635
0001,1738380600000,0.172,0.217,-0.107
0001,1738381200000,-0.372,-0.127,-0.027
0001,1738381800000,-0.176,1.548,-1.395
0001,1738382400000,-1.635,1.266,1.016
0001,1.738383e+12,-0.474,-0.586,1.596
0001,1738383600000,-1.746,0.287,-1.472
0001,1738384200000,0.527,-0.15,0.891
0001,1738384800000,2.696,-2.004,-0.29
0001,1738385400000,0.331,0.324,0.707
0001,1.738386e+12,-0.509,1.215,0.541
0001,1738386600000,0.977,0.664,0.058
0001,1738387200000,1.865,1.134,-0.8
0001,1738387800000,0.819,0.231,1.969
0001,1738388400000,-0.079,1.196,1.485
0001,1.738389e+12,0.927,-0.891,0.581
0001,1738389600000,0.654,-0.337,1.353
0001,1738390200000,-1.087,0.648,-0.212
0001,1738390800000,-0.05,-2.507,-0.256
0001,1738391400000,1.176,1.105,0.504
0001,1.738392e+12,2.004,0.019,1.315
0001,1738392600000,0.872,0.063,1.675
0001,1738393200000,0.983,1.061,-0.348
0001,1738393800000,1.356,0.404,-0.339
