participant_id,date,minutes_asleep,sleep_efficiency
0001,2025-02-01,396,80
0001,2025-02-02,379,92
0001,2025-02-03,368,70
0001,2025-02-04,428,72
0001,2025-02-05,464,92
0001,2025-02-06,332,79
0001,2025-02-07,358,78
0001,2025-02-08,433,90
0001,2025-02-09,450,91
0001,2025-02-10,394,70
0002,2025-02-01,458,72
0002,2025-02-02,381,80
0002,2025-02-03,520,82
0002,2025-02-04,470,74
0002,2025-02-05,502,75
0002,2025-02-06,418,77
0002,2025-02-07,448,71
0002,2025-02-08,428,78
0002,2025-02-09,430,95
0002,2025-02-10,301,73
